x,y,ground_truth
43.662735,3.6998968,Seminar
44.592865,4.44744,Seminar
20.961336,12.41052,Seminar
42.51485,-1.814471,Seminar
30.888414,0.3856793,Seminar
16.964622,10.088732,Seminar
10.225969,2.3723593,Seminar
33.078053,10.437537,Seminar
19.33723,13.857209,Seminar
40.06085,-15.030087,Seminar
51.841972,-12.007297,Seminar
51.791103,-7.3618507,Seminar
45.932316,-4.680643,Seminar
34.092327,-6.9635086,Seminar
33.992863,-19.310036,Seminar
22.386826,-13.184059,Seminar
20.00315,-14.630838,Seminar
20.716368,3.2698998,Seminar
49.912903,-13.734994,Seminar
47.08668,-9.8208885,Seminar
33.049515,-20.355856,Seminar
43.542477,1.0072865,Seminar
12.857262,10.191881,Seminar
19.445307,10.817182,Seminar
18.279604,11.358001,Seminar
9.360355,7.6306114,Seminar
9.504102,7.687446,Seminar
25.885288,0.1452333,Seminar
20.847124,-11.369737,Seminar
22.750143,13.09937,Seminar
12.386126,3.2536685,Seminar
45.365116,-15.825051,Seminar
13.118656,0.40289107,Seminar
13.63554,-0.49208158,Seminar
32.347523,5.3571525,Seminar
44.592003,6.536484,Seminar
20.662258,-12.887795,Seminar
43.270473,1.5031285,Seminar
18.455288,17.24771,Seminar
8.123779,13.256889,Imaginative entry
19.749681,16.967861,Seminar
18.598299,13.707635,Seminar
33.477642,-16.026539,Seminar
32.575348,-14.749122,Seminar
40.275795,-17.160383,Seminar
13.977795,-2.7758627,Seminar
30.33671,-21.547972,Seminar
18.803768,15.463762,Seminar
45.060265,-18.190437,Seminar
18.505444,17.381441,Seminar
16.37061,14.361898,Seminar
28.99305,9.857384,Seminar
44.934715,-18.58411,Seminar
31.660854,-15.098771,Seminar
8.123779,13.256889,Imaginative entry
8.4812565,13.982806,Imaginative entry
29.292747,7.2384486,Imaginative entry
20.126215,-16.810139,Seminar
-0.62726456,-19.036667,Deliberation
32.994648,-10.204188,Seminar
0.021683918,-16.360567,Seminar
-0.86346275,-19.585451,Seminar
30.264639,-15.482013,Seminar
25.454535,11.173974,Seminar
20.018505,1.1487305,Seminar
42.26234,-15.806538,Seminar
29.316376,8.353485,Seminar
30.02173,8.770259,Seminar
43.78715,-3.4714153,Seminar
34.003628,-6.9224095,Seminar
31.339834,9.958649,Seminar
-0.6847161,-16.146841,Seminar
32.016777,-0.021426637,Seminar
19.662432,-6.0825253,Seminar
21.797705,-15.877722,Seminar
48.801205,-1.1815194,Seminar
33.047592,5.59002,Seminar
23.26166,-9.120229,Seminar
48.79492,-1.1989636,Seminar
34.800316,11.176923,Seminar
